soil_type,region,water_source,irrigation_source,season,sown,sowing_window,soil_ph,temp,waterrequired,relative_humidity,n,p,k,cropduration,seed_variety
clay loam,Canal Area,irrigated,tube well,rabi,Nov,optimal,6.2,21.6,482.8,51.6,105.1,56.8,52.9,88.9,Dilkash-20
loamy,Canal Area,rainfed,mixed,rabi,Dec,late,6.2,23.3,496.7,57.1,100.7,47.0,51.1,85.7,Sawera-24
clay loam,South Punjab,irrigated,rainfed,rabi,Oct,early,6.6,22.5,485.1,53.5,101.9,53.4,44.0,84.6,Sawera-24
loamy,Potohar,rainfed,canal,rabi,Nov,optimal,6.9,21.2,467.9,54.7,106.7,56.3,50.7,85.4,Dilkash-20
loamy,Canal Area,irrigated,tube well,rabi,Dec,late,6.7,22.8,470.9,51.6,80.9,44.8,53.9,87.8,Sawera-24
clay loam,Potohar,rainfed,mixed,rabi,Oct,early,6.9,23.2,634.6,54.9,101.3,45.3,59.5,88.7,Arooj-22
sandy loam,South Punjab,irrigated,mixed,rabi,Nov,optimal,6.9,21.5,467.5,51.5,89.0,40.1,44.4,81.5,Sawera-24
silt loam,South Punjab,rainfed,canal,rabi,Dec,late,6.7,23.0,606.6,57.7,104.7,42.7,47.9,83.1,Sawera-24
clay loam,Potohar,irrigated,canal,rabi,Oct,early,6.8,23.6,497.4,58.9,90.9,52.8,44.2,88.2,Falak-24
loamy,Punjab North,rainfed,mixed,rabi,Nov,optimal,6.4,21.5,571.9,53.4,96.8,55.3,57.2,82.6,Subhani-21
loamy,Central Punjab,irrigated,rainfed,rabi,Dec,late,6.9,21.5,516.2,56.6,91.8,45.2,50.6,87.7,Sawera-24
clay loam,Punjab North,rainfed,canal,rabi,Oct,early,6.1,24.0,578.9,58.6,81.8,52.9,46.8,84.2,Falak-24
sandy loam,Punjab North,irrigated,mixed,rabi,Nov,optimal,6.5,23.4,465.4,57.4,80.9,50.2,40.6,83.5,Subhani-21
sandy loam,Punjab North,rainfed,canal,rabi,Dec,late,7.0,21.5,520.8,58.7,107.9,55.5,40.2,84.8,Falak-24
loamy,Canal Area,irrigated,rainfed,rabi,Oct,early,7.0,21.7,622.2,50.8,84.8,43.8,57.4,84.8,Arooj-22
loamy,South Punjab,rainfed,tube well,rabi,Nov,optimal,6.1,23.4,553.6,51.6,114.2,42.3,49.5,86.4,Sawera-24
sandy loam,Punjab North,irrigated,canal,rabi,Dec,late,6.9,22.6,573.7,52.0,99.2,44.0,54.2,81.4,Sawera-24
silt loam,South Punjab,rainfed,rainfed,rabi,Oct,early,6.9,22.7,492.7,57.9,105.4,54.1,44.3,80.7,Falak-24
clay loam,Potohar,irrigated,mixed,rabi,Nov,optimal,6.1,22.1,462.6,53.8,111.0,43.0,53.9,80.6,Arooj-22
loamy,Central Punjab,rainfed,canal,rabi,Dec,late,6.6,21.2,615.5,54.3,97.1,40.2,50.8,85.9,Sawera-24
loamy,Potohar,irrigated,canal,rabi,Oct,early,6.5,23.1,648.6,57.5,87.8,53.1,42.0,83.8,Falak-24
sandy loam,Potohar,rainfed,mixed,rabi,Nov,optimal,6.1,22.5,504.2,50.1,109.2,58.6,55.5,81.9,Arooj-22
clay loam,Canal Area,irrigated,tube well,rabi,Dec,late,6.9,21.9,559.4,52.7,89.8,46.4,53.7,88.6,Sawera-24
sandy loam,Central Punjab,rainfed,mixed,rabi,Oct,early,6.2,21.4,642.8,59.8,87.7,58.3,50.6,85.1,Arooj-22
clay loam,Potohar,irrigated,canal,rabi,Nov,optimal,6.3,23.7,496.3,51.3,114.9,54.6,50.1,84.6,Subhani-21
clay loam,Potohar,rainfed,mixed,rabi,Dec,late,6.6,21.8,482.5,50.6,103.2,53.3,58.0,88.4,Sawera-24
clay loam,Central Punjab,irrigated,rainfed,rabi,Oct,early,6.0,23.0,632.5,51.6,104.1,45.4,56.3,81.6,Subhani-21
loamy,Central Punjab,rainfed,mixed,rabi,Nov,optimal,6.6,22.0,641.3,50.3,96.8,52.1,56.2,87.3,Dilkash-20
silt loam,Potohar,irrigated,canal,rabi,Dec,late,6.2,22.9,498.9,58.2,96.3,49.1,55.2,83.5,Falak-24
sandy loam,Central Punjab,rainfed,mixed,rabi,Oct,early,6.7,22.3,522.8,54.0,103.1,49.3,50.6,89.3,Arooj-22
silt loam,Potohar,irrigated,tube well,rabi,Nov,optimal,6.5,23.4,541.7,54.0,112.0,52.7,51.4,82.2,Subhani-21
sandy loam,Potohar,rainfed,mixed,rabi,Dec,late,6.8,22.2,540.0,58.1,106.6,55.4,59.2,88.0,Arooj-22
clay loam,Canal Area,irrigated,tube well,rabi,Oct,early,6.5,22.5,575.9,54.3,116.4,52.2,47.0,80.3,Dilkash-20
loamy,Punjab North,rainfed,rainfed,rabi,Nov,optimal,6.1,21.6,492.1,56.9,97.3,44.1,55.8,84.5,Falak-24
silt loam,Potohar,irrigated,tube well,rabi,Dec,late,6.6,21.3,483.6,50.1,114.5,45.2,59.4,90.0,Falak-24
loamy,South Punjab,rainfed,mixed,rabi,Oct,early,6.9,21.5,554.2,54.4,106.8,41.2,53.7,89.0,Sawera-24
sandy loam,Punjab North,irrigated,canal,rabi,Nov,optimal,6.6,21.8,647.9,55.7,117.4,47.3,45.2,80.4,Subhani-21
loamy,Punjab North,rainfed,tube well,rabi,Dec,late,6.7,21.4,587.6,58.2,116.0,40.9,50.4,81.1,Sawera-24
loamy,Punjab North,irrigated,rainfed,rabi,Oct,early,6.6,23.7,593.1,52.1,93.8,53.5,54.0,87.8,Falak-24
silt loam,Canal Area,rainfed,tube well,rabi,Nov,optimal,6.3,22.0,616.7,55.2,107.2,49.7,55.0,87.7,Dilkash-20
clay loam,Potohar,irrigated,tube well,rabi,Dec,late,6.6,21.8,563.6,59.9,93.5,48.9,48.3,82.5,Sawera-24
loamy,Canal Area,rainfed,tube well,rabi,Oct,early,6.2,23.2,485.6,58.2,119.5,53.5,47.1,86.1,Dilkash-20
clay loam,Potohar,irrigated,rainfed,rabi,Nov,optimal,6.9,22.6,634.4,50.6,118.9,49.3,55.7,84.9,Subhani-21
sandy loam,Canal Area,rainfed,mixed,rabi,Dec,late,7.0,22.9,521.0,54.2,87.7,59.1,51.8,83.0,Sawera-24
loamy,Canal Area,irrigated,tube well,rabi,Oct,early,6.7,21.7,468.9,55.0,118.5,40.9,60.0,87.6,Dilkash-20
silt loam,South Punjab,rainfed,tube well,rabi,Nov,optimal,6.5,23.7,500.3,54.4,92.5,58.4,45.6,80.8,Dilkash-20
sandy loam,Canal Area,irrigated,canal,rabi,Dec,late,6.8,22.3,593.2,52.5,117.8,58.2,51.0,80.4,Sawera-24
sandy loam,Central Punjab,rainfed,rainfed,rabi,Oct,early,6.1,22.9,518.3,52.5,107.2,54.5,52.0,83.9,Arooj-22
silt loam,South Punjab,irrigated,tube well,rabi,Nov,optimal,6.3,22.7,608.2,53.3,89.6,54.4,41.1,87.0,Dilkash-20
loamy,Canal Area,rainfed,rainfed,rabi,Dec,late,6.0,22.5,645.1,59.7,103.6,41.9,41.3,85.3,Sawera-24
loamy,Punjab North,irrigated,tube well,rabi,Oct,early,6.1,22.6,589.9,54.3,109.3,50.2,43.3,89.0,Falak-24
sandy loam,Central Punjab,rainfed,mixed,rabi,Nov,optimal,6.5,23.5,495.1,58.9,104.5,42.5,42.3,88.7,Subhani-21
loamy,Central Punjab,irrigated,mixed,rabi,Dec,late,6.4,23.4,622.9,59.4,119.5,40.2,51.3,89.1,Sawera-24
clay loam,Central Punjab,rainfed,tube well,rabi,Oct,early,6.3,24.0,619.4,56.1,88.7,54.6,55.8,88.8,Subhani-21
silt loam,South Punjab,irrigated,mixed,rabi,Nov,optimal,6.9,23.7,523.8,59.2,101.8,55.4,45.6,89.8,Sawera-24
clay loam,Canal Area,rainfed,tube well,rabi,Dec,late,6.1,22.7,496.0,52.2,107.6,48.5,41.2,89.4,Sawera-24
loamy,Canal Area,irrigated,mixed,rabi,Oct,early,6.3,21.6,489.7,58.1,88.4,57.3,55.8,83.1,Dilkash-20
sandy loam,Punjab North,rainfed,canal,rabi,Nov,optimal,6.7,23.6,533.6,59.0,92.9,53.1,56.6,87.3,Subhani-21
silt loam,Punjab North,irrigated,canal,rabi,Dec,late,6.7,21.7,594.6,59.5,111.9,57.0,40.1,80.2,Falak-24
loamy,Central Punjab,rainfed,canal,rabi,Oct,early,6.3,22.7,509.8,56.4,81.8,57.1,51.4,88.9,Dilkash-20
loamy,Punjab North,irrigated,rainfed,rabi,Nov,optimal,6.7,22.6,632.5,58.4,116.4,43.0,50.8,87.4,Subhani-21
sandy loam,South Punjab,rainfed,rainfed,rabi,Dec,late,6.3,21.4,637.3,56.5,93.0,43.2,55.6,81.8,Sawera-24
sandy loam,Canal Area,irrigated,canal,rabi,Oct,early,6.7,22.5,457.4,52.0,109.5,59.6,42.2,86.3,Dilkash-20
clay loam,Central Punjab,rainfed,rainfed,rabi,Nov,optimal,6.8,21.9,594.5,56.4,102.6,43.8,48.1,89.0,Subhani-21
silt loam,Punjab North,irrigated,mixed,rabi,Dec,late,6.1,22.1,554.1,53.0,94.9,48.4,49.6,88.4,Falak-24
silt loam,South Punjab,rainfed,tube well,rabi,Oct,early,6.3,21.2,462.6,54.9,86.0,59.6,40.0,84.0,Falak-24
sandy loam,South Punjab,irrigated,tube well,rabi,Nov,optimal,6.7,21.5,605.9,54.3,119.5,48.1,47.8,81.5,Sawera-24
clay loam,Punjab North,rainfed,tube well,rabi,Dec,late,6.5,23.9,533.0,53.3,106.9,59.6,50.9,87.5,Subhani-21
silt loam,Canal Area,irrigated,canal,rabi,Oct,early,6.7,21.5,460.7,57.1,84.1,58.2,59.7,84.4,Dilkash-20
sandy loam,Punjab North,rainfed,rainfed,rabi,Nov,optimal,6.6,21.2,624.8,56.0,99.1,47.0,52.3,81.7,Arooj-22
loamy,Central Punjab,irrigated,mixed,rabi,Dec,late,6.7,21.2,614.4,59.3,92.8,55.3,42.8,89.5,Sawera-24
silt loam,Punjab North,rainfed,mixed,rabi,Oct,early,6.7,21.0,476.7,50.7,88.0,49.0,47.8,84.4,Falak-24
clay loam,South Punjab,irrigated,canal,rabi,Nov,optimal,6.9,21.9,465.0,54.4,98.9,54.7,42.4,85.2,Subhani-21
clay loam,Punjab North,rainfed,mixed,rabi,Dec,late,6.3,21.0,610.9,57.3,103.3,48.3,44.9,82.4,Subhani-21
clay loam,Canal Area,irrigated,mixed,rabi,Oct,early,6.9,24.0,628.4,55.7,91.3,59.6,53.2,87.8,Subhani-21
loamy,Potohar,rainfed,mixed,rabi,Nov,optimal,6.9,22.6,503.5,51.3,86.5,48.5,56.5,85.9,Dilkash-20
silt loam,Punjab North,irrigated,mixed,rabi,Dec,late,6.4,23.3,493.3,52.9,114.2,43.3,43.0,82.5,Falak-24
silt loam,Canal Area,rainfed,rainfed,rabi,Oct,early,6.2,21.5,466.7,51.1,103.8,47.7,53.4,82.5,Arooj-22
loamy,Canal Area,irrigated,mixed,rabi,Nov,optimal,6.1,21.0,534.3,51.4,114.6,47.9,40.9,82.9,Dilkash-20
silt loam,South Punjab,rainfed,tube well,rabi,Dec,late,6.5,22.8,477.2,56.7,102.5,48.8,50.7,88.7,Sawera-24
loamy,Canal Area,irrigated,canal,rabi,Oct,early,6.3,23.7,606.8,55.0,114.7,49.8,40.0,82.9,Dilkash-20
loamy,Canal Area,rainfed,rainfed,rabi,Nov,optimal,6.5,21.9,520.3,54.5,105.6,46.4,41.6,86.1,Dilkash-20
loamy,Canal Area,irrigated,mixed,rabi,Dec,late,7.0,21.6,602.2,53.4,103.0,40.2,49.3,82.9,Sawera-24
clay loam,Canal Area,rainfed,rainfed,rabi,Oct,early,6.7,23.9,565.5,50.5,91.1,44.6,49.0,86.5,Subhani-21
silt loam,Central Punjab,irrigated,mixed,rabi,Nov,optimal,6.4,23.9,626.8,57.7,81.9,50.4,40.9,85.5,Subhani-21
loamy,Central Punjab,rainfed,tube well,rabi,Dec,late,6.9,23.2,577.4,56.7,92.7,53.0,57.8,88.8,Sawera-24
silt loam,South Punjab,irrigated,canal,rabi,Oct,early,6.0,21.5,461.9,52.6,90.3,42.4,41.8,84.7,Falak-24
clay loam,Punjab North,rainfed,mixed,rabi,Nov,optimal,6.7,21.8,590.3,52.3,98.7,47.2,53.2,87.8,Subhani-21
loamy,Canal Area,irrigated,mixed,rabi,Dec,late,7.0,23.4,573.3,53.0,103.6,54.3,56.1,84.3,Sawera-24
sandy loam,Punjab North,rainfed,mixed,rabi,Oct,early,7.0,22.9,510.6,53.5,83.0,56.6,47.3,84.0,Falak-24
clay loam,Punjab North,irrigated,mixed,rabi,Nov,optimal,6.4,21.4,530.5,55.7,104.4,50.0,49.8,83.1,Subhani-21
sandy loam,South Punjab,rainfed,canal,rabi,Dec,late,6.3,23.9,504.0,50.8,102.7,58.6,40.4,83.3,Sawera-24
silt loam,Canal Area,irrigated,canal,rabi,Oct,early,6.4,21.7,609.6,51.4,115.5,50.6,52.4,80.4,Falak-24
silt loam,Canal Area,rainfed,tube well,rabi,Nov,optimal,6.1,21.7,570.8,52.9,105.5,42.2,41.5,86.7,Dilkash-20
clay loam,Potohar,irrigated,canal,rabi,Dec,late,6.7,21.9,473.1,52.5,89.4,49.4,56.1,86.9,Sawera-24
silt loam,Punjab North,rainfed,mixed,rabi,Oct,early,6.7,22.0,529.1,51.3,105.2,47.1,43.4,85.8,Falak-24
sandy loam,Punjab North,irrigated,tube well,rabi,Nov,optimal,6.8,21.9,513.7,56.6,101.1,50.6,48.7,87.3,Subhani-21
loamy,Central Punjab,rainfed,tube well,rabi,Dec,late,6.1,22.5,499.1,58.7,108.3,54.8,44.0,83.1,Subhani-21
loamy,Potohar,irrigated,tube well,rabi,Oct,early,6.8,23.5,531.7,55.9,85.5,53.1,56.1,86.0,Falak-24
loamy,Central Punjab,rainfed,mixed,rabi,Nov,optimal,6.8,21.9,495.5,56.0,118.1,45.9,54.0,81.6,Dilkash-20
clay loam,Central Punjab,irrigated,rainfed,rabi,Dec,late,6.8,23.9,483.6,50.3,80.6,52.6,44.8,81.4,Subhani-21
silt loam,Central Punjab,rainfed,mixed,rabi,Oct,early,6.7,22.8,572.0,51.1,91.3,43.3,57.5,84.9,Subhani-21
sandy loam,South Punjab,irrigated,canal,rabi,Nov,optimal,6.5,23.5,554.7,57.4,119.7,49.0,46.1,89.6,Sawera-24
silt loam,South Punjab,rainfed,canal,rabi,Dec,late,6.9,22.3,647.5,52.5,116.3,49.4,57.8,84.8,Sawera-24
silt loam,Central Punjab,irrigated,mixed,rabi,Oct,early,6.1,23.0,598.1,50.4,106.5,50.1,58.7,85.3,Falak-24
silt loam,Potohar,rainfed,mixed,rabi,Nov,optimal,6.1,23.8,493.8,51.8,90.4,58.7,57.5,84.4,Arooj-22
loamy,Punjab North,irrigated,tube well,rabi,Dec,late,6.6,22.5,564.7,50.7,117.3,49.6,46.6,87.7,Sawera-24
sandy loam,Potohar,rainfed,mixed,rabi,Oct,early,6.8,22.7,607.1,50.8,93.3,50.6,55.2,86.7,Arooj-22
sandy loam,Canal Area,irrigated,tube well,rabi,Nov,optimal,7.0,23.7,557.0,50.2,106.5,48.9,57.1,80.9,Subhani-21
silt loam,South Punjab,rainfed,canal,rabi,Dec,late,6.3,22.3,542.6,51.6,114.2,56.6,59.8,86.5,Sawera-24
loamy,Punjab North,irrigated,tube well,rabi,Oct,early,6.7,23.2,478.4,59.4,98.0,44.1,58.5,85.4,Subhani-21
loamy,Punjab North,rainfed,mixed,rabi,Nov,optimal,6.9,21.1,536.9,51.4,93.3,49.4,59.4,87.3,Subhani-21
sandy loam,Canal Area,irrigated,canal,rabi,Dec,late,6.1,21.0,504.0,58.9,101.5,41.4,40.6,80.5,Sawera-24
loamy,Canal Area,rainfed,rainfed,rabi,Oct,early,6.1,21.7,611.2,58.0,106.6,59.4,43.8,88.4,Arooj-22
loamy,Central Punjab,irrigated,tube well,rabi,Nov,optimal,6.6,21.4,598.6,56.7,100.0,44.5,57.4,88.4,Subhani-21
loamy,South Punjab,rainfed,canal,rabi,Dec,late,6.2,22.9,602.4,50.5,81.1,57.9,47.6,85.8,Sawera-24
clay loam,South Punjab,irrigated,tube well,rabi,Oct,early,6.6,21.3,473.6,56.9,105.0,52.5,48.9,88.8,Subhani-21
silt loam,Potohar,rainfed,canal,rabi,Nov,optimal,6.4,22.5,625.3,57.6,94.7,47.2,50.6,81.5,Dilkash-20
sandy loam,Central Punjab,irrigated,canal,rabi,Dec,late,6.4,21.2,507.1,51.2,109.2,48.3,48.3,89.5,Sawera-24
sandy loam,Central Punjab,rainfed,tube well,rabi,Oct,early,6.4,23.0,536.5,58.1,116.6,47.2,53.7,82.2,Subhani-21
clay loam,Central Punjab,irrigated,rainfed,rabi,Nov,optimal,6.4,21.2,576.4,55.5,103.8,53.7,43.3,88.0,Subhani-21
silt loam,Central Punjab,rainfed,canal,rabi,Dec,late,6.6,22.6,539.0,51.8,82.2,52.5,40.2,88.8,Dilkash-20
sandy loam,South Punjab,irrigated,canal,rabi,Oct,early,6.0,21.8,615.7,56.5,93.1,43.3,50.5,82.6,Arooj-22
loamy,South Punjab,rainfed,canal,rabi,Nov,optimal,6.2,22.6,605.5,57.0,98.5,55.5,41.9,85.5,Dilkash-20
sandy loam,Central Punjab,irrigated,rainfed,rabi,Dec,late,6.2,22.7,535.3,51.6,89.9,59.7,41.1,84.0,Arooj-22
loamy,Potohar,rainfed,rainfed,rabi,Oct,early,6.5,22.2,626.8,54.2,112.6,42.8,58.4,89.3,Arooj-22
clay loam,Punjab North,irrigated,mixed,rabi,Nov,optimal,6.3,23.3,452.0,50.5,91.8,47.8,59.1,84.2,Subhani-21
loamy,Punjab North,rainfed,tube well,rabi,Dec,late,6.5,22.1,473.8,53.0,115.5,48.4,53.1,80.0,Subhani-21
sandy loam,Potohar,irrigated,rainfed,rabi,Oct,early,6.8,22.3,548.8,55.2,84.2,41.3,51.6,81.5,Arooj-22
sandy loam,Central Punjab,rainfed,tube well,rabi,Nov,optimal,7.0,22.1,547.7,57.9,105.9,52.0,42.0,84.5,Subhani-21
sandy loam,South Punjab,irrigated,mixed,rabi,Dec,late,6.7,21.9,584.7,56.9,106.7,49.3,55.0,83.3,Sawera-24
clay loam,Punjab North,rainfed,tube well,rabi,Oct,early,6.5,24.0,574.7,58.0,91.6,56.2,44.4,87.9,Subhani-21
clay loam,Canal Area,irrigated,rainfed,rabi,Nov,optimal,6.3,21.5,598.3,51.8,92.0,50.1,57.6,89.0,Dilkash-20
silt loam,Canal Area,rainfed,tube well,rabi,Dec,late,6.8,21.9,609.1,55.2,100.3,48.7,46.1,86.1,Dilkash-20
sandy loam,Potohar,irrigated,rainfed,rabi,Oct,early,6.7,21.2,487.7,53.9,90.6,52.9,50.6,84.1,Arooj-22
loamy,Central Punjab,rainfed,tube well,rabi,Nov,optimal,6.2,23.3,522.5,57.9,103.2,44.6,48.2,80.8,Subhani-21
clay loam,Punjab North,irrigated,rainfed,rabi,Dec,late,6.6,22.2,639.9,59.6,85.5,42.4,45.0,84.2,Subhani-21
sandy loam,Central Punjab,rainfed,rainfed,rabi,Oct,early,6.3,23.7,492.0,58.4,115.4,51.7,54.1,87.8,Arooj-22
sandy loam,Punjab North,irrigated,tube well,rabi,Nov,optimal,6.0,21.1,626.6,57.3,102.8,40.1,59.9,84.5,Subhani-21
clay loam,Potohar,rainfed,mixed,rabi,Dec,late,6.9,22.7,468.9,57.0,85.4,56.0,50.5,89.8,Sawera-24
silt loam,Potohar,irrigated,canal,rabi,Oct,early,6.1,22.0,538.4,56.5,90.6,45.8,58.8,87.3,Falak-24
clay loam,Canal Area,rainfed,mixed,rabi,Nov,optimal,6.1,22.7,578.7,51.7,99.8,50.1,49.1,87.9,Dilkash-20
clay loam,Central Punjab,irrigated,tube well,rabi,Dec,late,6.9,21.9,583.7,56.8,87.0,48.9,48.5,81.6,Subhani-21
loamy,Canal Area,rainfed,mixed,rabi,Oct,early,6.6,21.9,616.8,55.7,97.4,51.0,53.6,80.8,Dilkash-20
loamy,Central Punjab,irrigated,rainfed,rabi,Nov,optimal,6.6,21.5,580.7,55.2,107.0,54.7,56.8,87.6,Dilkash-20
silt loam,Canal Area,rainfed,canal,rabi,Dec,late,6.2,22.2,579.0,57.9,84.2,57.2,53.5,89.0,Dilkash-20
sandy loam,South Punjab,irrigated,tube well,rabi,Oct,early,6.0,23.7,508.6,55.9,85.1,54.1,56.6,85.7,Arooj-22
clay loam,South Punjab,rainfed,tube well,rabi,Nov,optimal,7.0,23.9,466.9,54.6,103.7,59.5,47.2,88.5,Subhani-21
silt loam,South Punjab,irrigated,tube well,rabi,Dec,late,6.6,22.8,621.2,51.9,112.1,53.7,42.6,82.0,Sawera-24
loamy,South Punjab,rainfed,canal,rabi,Oct,early,6.9,21.2,569.9,51.6,98.2,40.6,42.0,85.9,Sawera-24
clay loam,Punjab North,irrigated,rainfed,rabi,Nov,optimal,6.1,21.3,568.0,54.2,110.6,60.0,47.8,87.7,Subhani-21
sandy loam,South Punjab,rainfed,tube well,rabi,Dec,late,6.3,23.7,464.4,55.1,93.6,42.9,50.1,81.4,Sawera-24
loamy,Potohar,irrigated,mixed,rabi,Oct,early,7.0,23.1,554.2,59.4,90.7,45.9,54.1,83.5,Arooj-22
loamy,Potohar,rainfed,tube well,rabi,Nov,optimal,6.1,22.8,599.4,54.7,114.8,48.2,52.6,82.5,Dilkash-20
loamy,Punjab North,irrigated,tube well,rabi,Dec,late,6.1,23.9,648.3,54.2,116.8,59.9,46.5,81.6,Sawera-24
silt loam,South Punjab,rainfed,tube well,rabi,Oct,early,6.4,22.0,610.3,58.1,110.8,40.1,45.2,80.7,Falak-24
sandy loam,South Punjab,irrigated,tube well,rabi,Nov,optimal,6.6,23.8,551.9,59.3,101.0,53.6,42.0,84.4,Sawera-24
clay loam,South Punjab,rainfed,rainfed,rabi,Dec,late,6.6,22.8,501.0,59.1,100.9,52.6,47.4,83.3,Sawera-24
silt loam,Canal Area,irrigated,mixed,rabi,Oct,early,6.3,22.9,476.6,50.8,114.0,41.6,50.2,85.6,Dilkash-20
silt loam,Central Punjab,rainfed,rainfed,rabi,Nov,optimal,6.9,22.6,546.3,51.3,107.2,54.2,40.7,89.6,Subhani-21
silt loam,Canal Area,irrigated,mixed,rabi,Dec,late,6.6,21.6,610.2,51.8,105.5,41.5,48.9,85.6,Dilkash-20
loamy,Central Punjab,rainfed,tube well,rabi,Oct,early,6.5,21.9,637.6,53.9,103.6,57.3,58.6,81.4,Dilkash-20
sandy loam,South Punjab,irrigated,canal,rabi,Nov,optimal,6.3,23.5,501.4,55.4,114.9,45.8,57.6,86.7,Sawera-24
silt loam,South Punjab,rainfed,rainfed,rabi,Dec,late,6.2,23.7,493.5,56.1,94.9,58.6,47.1,84.6,Sawera-24
clay loam,Canal Area,irrigated,canal,rabi,Oct,early,6.0,21.4,593.5,57.7,81.9,51.9,47.4,86.0,Falak-24
sandy loam,Canal Area,rainfed,rainfed,rabi,Nov,optimal,6.5,22.1,562.2,56.0,114.1,58.7,50.2,88.7,Dilkash-20
clay loam,Central Punjab,irrigated,tube well,rabi,Dec,late,6.2,22.6,553.4,54.7,119.8,50.2,40.1,85.0,Subhani-21
sandy loam,Potohar,rainfed,rainfed,rabi,Oct,early,6.4,21.9,526.2,50.3,116.7,50.1,41.8,88.2,Arooj-22
clay loam,Central Punjab,irrigated,tube well,rabi,Nov,optimal,6.0,23.7,590.4,53.3,117.5,42.3,43.3,87.2,Subhani-21
loamy,Canal Area,rainfed,rainfed,rabi,Dec,late,6.6,21.0,457.7,51.7,92.8,47.0,45.3,82.6,Sawera-24
silt loam,Canal Area,irrigated,tube well,rabi,Oct,early,6.9,23.1,464.7,51.0,116.8,47.5,57.5,86.0,Dilkash-20
clay loam,Punjab North,rainfed,tube well,rabi,Nov,optimal,6.2,22.4,579.2,52.9,80.3,59.0,40.3,80.4,Subhani-21
sandy loam,Canal Area,irrigated,mixed,rabi,Dec,late,6.9,21.1,490.3,52.9,110.1,40.5,50.5,88.5,Sawera-24
silt loam,Punjab North,rainfed,tube well,rabi,Oct,early,7.0,21.0,498.8,53.6,112.7,46.7,40.3,89.3,Falak-24
silt loam,Potohar,irrigated,mixed,rabi,Nov,optimal,6.1,22.8,460.7,56.1,88.4,56.6,42.7,81.1,Arooj-22
sandy loam,Central Punjab,rainfed,tube well,rabi,Dec,late,6.7,23.8,615.2,57.8,92.7,41.2,51.9,88.5,Sawera-24
clay loam,Central Punjab,irrigated,canal,rabi,Oct,early,6.3,21.6,563.0,54.1,86.7,48.1,45.6,82.5,Falak-24
loamy,Punjab North,rainfed,tube well,rabi,Nov,optimal,6.6,21.3,588.0,58.4,96.8,47.4,54.1,88.5,Subhani-21
loamy,Central Punjab,irrigated,canal,rabi,Dec,late,6.9,22.2,621.8,56.3,110.0,51.1,45.4,80.7,Sawera-24
clay loam,Canal Area,rainfed,canal,rabi,Oct,early,6.3,22.8,580.0,53.0,95.3,59.1,43.0,83.8,Dilkash-20
silt loam,South Punjab,irrigated,tube well,rabi,Nov,optimal,6.8,21.6,473.8,51.9,92.7,40.1,40.2,88.7,Dilkash-20
silt loam,Punjab North,rainfed,canal,rabi,Dec,late,6.7,21.7,580.5,54.6,104.6,44.2,49.1,87.7,Falak-24
silt loam,Central Punjab,irrigated,mixed,rabi,Oct,early,6.9,21.4,479.8,59.0,119.3,46.4,41.1,82.6,Falak-24
silt loam,Punjab North,rainfed,rainfed,rabi,Nov,optimal,6.4,22.2,635.0,53.3,102.5,54.3,45.9,82.4,Falak-24
clay loam,Punjab North,irrigated,tube well,rabi,Dec,late,6.8,21.8,616.6,57.4,97.1,58.7,45.1,82.7,Subhani-21
silt loam,South Punjab,rainfed,canal,rabi,Oct,early,6.7,21.6,511.5,51.4,113.6,53.0,44.4,86.6,Falak-24
sandy loam,Canal Area,irrigated,tube well,rabi,Nov,optimal,6.7,22.7,537.3,57.2,82.5,52.9,59.2,80.7,Dilkash-20
silt loam,Punjab North,rainfed,mixed,rabi,Dec,late,6.0,23.0,587.9,50.9,110.7,55.1,52.1,84.2,Falak-24
loamy,Central Punjab,irrigated,tube well,rabi,Oct,early,6.7,23.2,531.0,56.7,87.8,40.1,42.1,89.2,Subhani-21
silt loam,Potohar,rainfed,tube well,rabi,Nov,optimal,6.9,23.0,506.5,51.1,104.4,56.4,57.2,81.3,Subhani-21
clay loam,Punjab North,irrigated,canal,rabi,Dec,late,6.1,21.5,508.6,57.5,111.3,43.6,43.6,84.7,Falak-24
loamy,Punjab North,rainfed,mixed,rabi,Oct,early,6.3,23.2,466.7,52.1,86.9,55.7,43.2,82.1,Falak-24
clay loam,South Punjab,irrigated,rainfed,rabi,Nov,optimal,6.5,21.1,621.8,51.2,91.6,58.7,47.4,80.0,Subhani-21
clay loam,Canal Area,rainfed,rainfed,rabi,Dec,late,6.7,23.7,455.3,51.3,96.2,51.8,49.1,80.6,Sawera-24
loamy,Potohar,irrigated,canal,rabi,Oct,early,6.8,23.4,509.7,57.6,84.6,47.3,43.6,83.4,Falak-24
clay loam,Central Punjab,rainfed,tube well,rabi,Nov,optimal,6.8,24.0,463.3,57.2,95.9,41.4,43.5,86.1,Subhani-21
clay loam,Potohar,irrigated,canal,rabi,Dec,late,6.7,21.5,496.8,53.6,98.9,45.8,54.9,87.5,Sawera-24
silt loam,Central Punjab,rainfed,canal,rabi,Oct,early,6.9,23.0,641.7,55.6,88.9,52.7,53.8,89.4,Falak-24
sandy loam,Canal Area,irrigated,canal,rabi,Nov,optimal,6.5,22.4,529.9,52.1,95.0,49.2,52.3,84.4,Dilkash-20
clay loam,Central Punjab,rainfed,tube well,rabi,Dec,late,6.6,21.4,599.7,57.5,118.2,44.3,57.6,82.1,Subhani-21
